"S.
No.",Description,Average Price,% Change,Cities,Value,Month
27,Chilies Powder NATIONAL 200 gm Pa Each,400,0,Larkana,400,February 2024
27,Chilies Powder NATIONAL 200 gm Pa Each,400,0,Pesha-war,400,February 2024
27,Chilies Powder NATIONAL 200 gm Pa Each,400,0,Bannu,400,February 2024
27,Chilies Powder NATIONAL 200 gm Pa Each,400,0,Quetta,400,February 2024
27,Chilies Powder NATIONAL 200 gm Pa Each,400,0,Khuz-dar,400,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Islam-abad,705.85,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Rawal-pindi,679.19,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Gujran-wala,555.98,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Sialkot,559.87,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Lahore,572.52,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Faisal-abad,584.38,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Sar-godha,551.84,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Multan,604.32,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Baha-walpur,600,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Karachi,626.07,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Hyder-abad,579.49,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Sukkur,566.19,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Larkana,567.53,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Pesha-war,579.99,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Bannu,600,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Quetta,603.66,February 2024
28,Garlic (Lehsun) 1 Kg,594.6,1.01,Khuz-dar,593.26,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Islam-abad,542.86,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Rawal-pindi,542.86,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Gujran-wala,542.86,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Sialkot,542.86,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Lahore,542.85,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Faisal-abad,542.83,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Sar-godha,542.86,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Multan,542.85,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Baha-walpur,542.86,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Karachi,542.86,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Hyder-abad,542.85,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Sukkur,549.19,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Larkana,677.21,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Pesha-war,542.85,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Bannu,542.85,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Quetta,542.85,February 2024
29,Tea Lipton Yellow Label 190 gm Pack Each,551.28,-2.18,Khuz-dar,558.82,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Islam-abad,305.34,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Rawal-pindi,281.64,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Gujran-wala,375,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Sialkot,300,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Lahore,217.75,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Faisal-abad,300,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Sar-godha,250,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Multan,300,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Baha-walpur,273.17,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Karachi,318.77,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Hyder-abad,283.24,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Sukkur,200,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Larkana,240,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Pesha-war,200,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Bannu,250,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Quetta,344.98,February 2024
30,Cooked Beef at Average Hotel Per Plat e,275.82,0.28,Khuz-dar,319.68,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Islam-abad,217.6,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Rawal-pindi,203.54,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Gujran-wala,140,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Sialkot,120,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Lahore,133.18,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Faisal-abad,166.41,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Sar-godha,120,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Multan,122.07,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Baha-walpur,132.99,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Karachi,152.56,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Hyder-abad,163.9,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Sukkur,150,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Larkana,120,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Pesha-war,115.98,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Bannu,120,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Quetta,139.76,February 2024
31,Cooked Daal at Average Hotel Per Plat e,143.91,1.62,Khuz-dar,173.07,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Islam-abad,69.11,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Rawal-pindi,67.6,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Gujran-wala,60,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Sialkot,50,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Lahore,50.88,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Faisal-abad,63.16,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Sar-godha,56.46,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Multan,70,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Baha-walpur,50,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Karachi,69.35,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Hyder-abad,71.45,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Sukkur,60,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Larkana,60,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Pesha-war,40.13,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Bannu,50,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Quetta,70,February 2024
32,Tea Prepared Ordinary Per Cup,58.54,1.19,Khuz-dar,50,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Islam-abad,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Rawal-pindi,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Gujran-wala,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Sialkot,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Lahore,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Faisal-abad,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Sar-godha,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Multan,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Baha-walpur,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Karachi,232.99,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Hyder-abad,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Sukkur,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Larkana,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Pesha-war,230,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Bannu,220,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Quetta,224.94,February 2024
33,Cigarettes Capstan 20'S Packet Each,221.8,0,Khuz-dar,223.28,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Islam-abad,572.61,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Rawal-pindi,551.91,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Gujran-wala,571,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Sialkot,570,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Lahore,550.19,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Faisal-abad,482.74,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Sar-godha,650,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Multan,647.01,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Baha-walpur,652.85,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Karachi,626.78,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Hyder-abad,494.92,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Sukkur,500,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Larkana,516.14,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Pesha-war,642,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Bannu,700,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Quetta,648.72,February 2024
34,"Long Cloth 57"" Gul Ahmed/Al Karam 1 mtr",569.64,0.77,Khuz-dar,400,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Islam-abad,584.12,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Rawal-pindi,558.07,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Gujran-wala,400,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Sialkot,370,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Lahore,378.25,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Faisal-abad,748.89,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Sar-godha,586.59,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Multan,520.7,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Baha-walpur,586.59,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Karachi,402.76,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Hyder-abad,404.91,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Sukkur,229.58,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Larkana,313.19,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Pesha-war,444.32,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Bannu,450,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Quetta,229.85,February 2024
35,Shirting (Average Quality) 1 mtr,419.56,0.54,Khuz-dar,293.18,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Islam-abad,476.27,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Rawal-pindi,426.41,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Gujran-wala,550,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Sialkot,550,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Lahore,669.96,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Faisal-abad,566.19,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Sar-godha,650,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Multan,586,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Baha-walpur,582.24,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Karachi,554.37,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Hyder-abad,494.92,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Sukkur,550,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Larkana,532.8,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Pesha-war,702,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Bannu,650,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Quetta,648.72,February 2024
36,Lawn Printed Gul Ahmed/Al Karam 1 mtr,557.94,0.27,Khuz-dar,400,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Islam-abad,312.7,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Rawal-pindi,298.47,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Gujran-wala,200,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Sialkot,300,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Lahore,315.58,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Faisal-abad,350,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Sar-godha,350,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Multan,251.09,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Baha-walpur,269.62,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Karachi,302.6,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Hyder-abad,265.55,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Sukkur,206.46,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Larkana,265.66,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Pesha-war,236.33,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Bannu,160,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Quetta,217.48,February 2024
37,Georgette (Average Quality) 1 mtr,264.31,0.51,Khuz-dar,282.31,February 2024
38,Gents Sandal Bata Pair,2299,0,Islam-abad,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Rawal-pindi,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Gujran-wala,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Sialkot,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Lahore,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Faisal-abad,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Sar-godha,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Multan,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Baha-walpur,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Karachi,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Hyder-abad,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Sukkur,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Larkana,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Pesha-war,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Bannu,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Quetta,2299,February 2024
38,Gents Sandal Bata Pair,2299,0,Khuz-dar,2299,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Islam-abad,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Rawal-pindi,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Gujran-wala,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Sialkot,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Lahore,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Faisal-abad,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Sar-godha,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Multan,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Baha-walpur,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Karachi,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Hyder-abad,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Sukkur,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Larkana,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Pesha-war,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Bannu,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Quetta,599,February 2024
39,Gents Sponge Chappal Bata Pair,599,0,Khuz-dar,599,February 2024
40,Ladies Sandal Bata Pair,799,0,Islam-abad,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Rawal-pindi,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Gujran-wala,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Sialkot,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Lahore,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Faisal-abad,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Sar-godha,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Multan,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Baha-walpur,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Karachi,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Hyder-abad,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Sukkur,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Larkana,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Pesha-war,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Bannu,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Quetta,799,February 2024
40,Ladies Sandal Bata Pair,799,0,Khuz-dar,799,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Islam-abad,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Rawal-pindi,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Gujran-wala,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Sialkot,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Lahore,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Faisal-abad,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Sar-godha,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Multan,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Baha-walpur,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Karachi,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Hyder-abad,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Sukkur,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Larkana,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Pesha-war,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Bannu,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Quetta,7.4,February 2024
41,Electricity Charges upto 50 Units Per Unit,7.4,1.23,Khuz-dar,7.4,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Islam-abad,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Rawal-pindi,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Gujran-wala,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Sialkot,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Lahore,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Faisal-abad,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Sar-godha,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Multan,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Baha-walpur,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Karachi,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Hyder-abad,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Sukkur,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Larkana,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Pesha-war,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Bannu,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Quetta,1761.08,February 2024
42,Gas Charges upto 3.3719 MMBTU MMBTU,1761.08,2.93,Khuz-dar,,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Islam-abad,1827.75,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Rawal-pindi,1507.08,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Gujran-wala,1400,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Sialkot,1000,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Lahore,1587.95,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Faisal-abad,1600,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Sar-godha,1000,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Multan,1440.97,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Baha-walpur,1300,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Karachi,1109.28,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Hyder-abad,1000,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Sukkur,758.39,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Larkana,866.35,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Pesha-war,1000.44,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Bannu,795.81,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Quetta,1349.38,February 2024
43,Firewood Whole 40 Kg,1171.92,0.64,Khuz-dar,1032.28,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Islam-abad,273.53,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Rawal-pindi,260.4,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Gujran-wala,550,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Sialkot,575,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Lahore,479.37,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Faisal-abad,400,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Sar-godha,550,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Multan,575,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Baha-walpur,272.7,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Karachi,350,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Hyder-abad,350,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Sukkur,300,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Larkana,370,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Pesha-war,260,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Bannu,250,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Quetta,350,February 2024
44,Energy Saver Philips 14 Watt Each,369.24,3.25,Khuz-dar,382.59,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Islam-abad,131.62,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Rawal-pindi,131.29,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Gujran-wala,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Sialkot,120,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Lahore,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Faisal-abad,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Sar-godha,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Multan,125,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Baha-walpur,133.25,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Karachi,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Hyder-abad,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Sukkur,138,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Larkana,120,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Pesha-war,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Bannu,125,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Quetta,130,February 2024
45,Sufi Washing Soap 250 gm Cake Each,128.7,0,Khuz-dar,125,February 2024
46,Match Box Each,6.15,2.33,Islam-abad,6,February 2024
46,Match Box Each,6.15,2.33,Rawal-pindi,6,February 2024
46,Match Box Each,6.15,2.33,Gujran-wala,5.58,February 2024
46,Match Box Each,6.15,2.33,Sialkot,5,February 2024
46,Match Box Each,6.15,2.33,Lahore,6.32,February 2024
46,Match Box Each,6.15,2.33,Faisal-abad,7,February 2024
46,Match Box Each,6.15,2.33,Sar-godha,6,February 2024
